2024-09-13T23:55:51.527Z - Tx: 16800, Rate: 3.64 tx/s, Errors: {"unknown":106}
2024-09-13T23:56:11.349Z - Tx: 16900, Rate: 3.65 tx/s, Errors: {"unknown":106}
2024-09-13T23:56:34.375Z - Tx: 17000, Rate: 3.65 tx/s, Errors: {"unknown":109}
2024-09-13T23:56:54.353Z - Tx: 17100, Rate: 3.66 tx/s, Errors: {"unknown":109}
2024-09-13T23:57:14.409Z - Tx: 17200, Rate: 3.67 tx/s, Errors: {"unknown":109}
2024-09-13T23:57:34.473Z - Tx: 17300, Rate: 3.67 tx/s, Errors: {"unknown":109}
2024-09-13T23:57:54.548Z - Tx: 17400, Rate: 3.68 tx/s, Errors: {"unknown":109}
2024-09-13T23:58:14.746Z - Tx: 17500, Rate: 3.68 tx/s, Errors: {"unknown":109}
2024-09-13T23:59:39.231Z - Tx: 17600, Rate: 3.64 tx/s, Errors: {"unknown":113}
2024-09-13T23:59:59.195Z - Tx: 17700, Rate: 3.64 tx/s, Errors: {"unknown":113}
2024-09-14T00:00:19.259Z - Tx: 17800, Rate: 3.65 tx/s, Errors: {"unknown":113}
2024-09-14T00:00:38.403Z - Tx: 17900, Rate: 3.66 tx/s, Errors: {"unknown":113}
2024-09-14T00:00:58.531Z - Tx: 18000, Rate: 3.66 tx/s, Errors: {"unknown":113}
2024-09-14T00:01:18.704Z - Tx: 18100, Rate: 3.67 tx/s, Errors: {"unknown":113}
2024-09-14T00:02:46.331Z - Tx: 18200, Rate: 3.62 tx/s, Errors: {"unknown":119}
2024-09-14T00:03:06.252Z - Tx: 18300, Rate: 3.63 tx/s, Errors: {"unknown":119}
2024-09-14T00:03:26.650Z - Tx: 18400, Rate: 3.63 tx/s, Errors: {"unknown":119}
2024-09-14T00:03:45.299Z - Tx: 18500, Rate: 3.64 tx/s, Errors: {"unknown":120}
2024-09-14T00:04:05.209Z - Tx: 18600, Rate: 3.64 tx/s, Errors: {"unknown":120}
2024-09-14T00:04:25.352Z - Tx: 18700, Rate: 3.65 tx/s, Errors: {"unknown":120}
2024-09-14T00:04:45.700Z - Tx: 18800, Rate: 3.65 tx/s, Errors: {"unknown":120}
2024-09-14T00:05:05.722Z - Tx: 18900, Rate: 3.66 tx/s, Errors: {"unknown":120}
2024-09-14T00:05:25.622Z - Tx: 19000, Rate: 3.66 tx/s, Errors: {"unknown":120}
2024-09-14T00:05:45.282Z - Tx: 19100, Rate: 3.67 tx/s, Errors: {"unknown":120}
2024-09-14T00:06:05.353Z - Tx: 19200, Rate: 3.68 tx/s, Errors: {"unknown":120}
2024-09-14T00:06:25.731Z - Tx: 19300, Rate: 3.68 tx/s, Errors: {"unknown":120}
2024-09-14T00:06:45.916Z - Tx: 19400, Rate: 3.69 tx/s, Errors: {"unknown":120}
2024-09-14T00:08:11.612Z - Tx: 19500, Rate: 3.64 tx/s, Errors: {"unknown":124}
2024-09-14T00:08:31.101Z - Tx: 19600, Rate: 3.65 tx/s, Errors: {"unknown":124}
2024-09-14T00:08:50.176Z - Tx: 19700, Rate: 3.66 tx/s, Errors: {"unknown":124}
